,timestamp,kw_energy_consumption,prediction,subj_24_subj_24_out_err,subj_24_subj_26_out_err,subj_24_subj_8_out_err,subj_24_subj_7_out_err,subj_24_subj_28_out_err,subj_24_subj_29_out_err,subj_24_subj_2_out_err,subj_24_subj_1_out_err,subj_24_subj_27_out_err,subj_24_subj_9_out_err,subj_24_subj_23_out_err,subj_24_subj_10_out_err,subj_24_subj_11_out_err,subj_24_subj_5_out_err,subj_24_subj_6_out_err,subj_24_subj_3_out_err,subj_24_subj_30_out_err,subj_24_subj_25_out_err,subj_24_subj_4_out_err
0,2016-04-03 20:00:00,-0.038,-0.0478473717832,0.00984737178318,-0.0083971058271,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,0.0849319060821,-0.000262779948413,0.0849319060821,0.0849319060821,-0.0124324599186,0.0430399,0.0430399,-0.0124324599186,0.00605236683557,-0.0291526282168
1,2016-04-05 12:00:00,-0.036,-0.0478473717832,0.0118473717832,0.0208473717832,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0124324599186,-0.0261526282168,0.0046028941729,-0.0281526282168,-0.0281526282168,-0.0124324599186,0.0430399,0.0430399,-0.0124324599186,-0.0193368729478,-0.0271526282168
2,2016-04-07 03:00:00,-0.032,-0.0478473717832,0.0158473717832,0.0138473717832,0.00180543598096,-0.0124324599186,0.00180543598096,0.00180543598096,0.00180543598096,-0.0114324599186,0.00180543598096,-0.0241526282168,0.0026028941729,-0.0211526282168,-0.0281526282168,-0.0114324599186,0.0440399,0.0430399,0.00180543598096,-0.0143368729478,-0.0281526282168
3,2016-04-08 20:00:00,-0.026,-0.0126028941729,-0.0133971058271,0.00784737178318,0.00380543598096,-0.00419456401904,-0.00743245991856,-0.00743245991856,-0.00643245991856,0.00380543598096,-0.00743245991856,-0.0221526282168,0.0016028941729,-0.0231526282168,-0.0311526282168,0.00280543598096,0.0450399,0.0440399,-0.00743245991856,-0.0123368729478,-0.0301526282168
4,2016-04-10 12:00:00,-0.018,-0.0126028941729,-0.0053971058271,0.00184737178318,-0.00543245991856,-0.0124324599186,-0.00443245991856,-0.00443245991856,-0.00343245991856,-0.00543245991856,-0.00443245991856,-0.0211526282168,0.0016028941729,-0.0271526282168,-0.0341526282168,-0.00643245991856,0.0460399,0.0450399,-0.00443245991856,-0.0221074948956,-0.0331526282168
5,2016-04-12 03:00:00,-0.008,-0.0126028941729,0.0046028941729,-0.00215262821682,-0.00443245991856,-0.00319456401904,0.00211296837958,0.00211296837958,0.00311296837958,-0.00143245991856,0.00211296837958,-0.0211526282168,0.0036028941729,-0.0311526282168,-0.0381526282168,-0.00243245991856,0.0490399,0.0470399,0.00211296837958,-0.0221074948956,-0.0371526282168
6,2016-04-13 20:00:00,0.003,0.000310390353702,0.0026896096463,-0.00415262821682,0.00111296837958,-0.0184324599186,0.00356754008144,0.00356754008144,0.00456754008144,0.00156754008144,0.00356754008144,-0.0221526282168,-0.0073103903537,-0.0351526282168,-0.0421526282168,0.00311296837958,0.0520399,0.0500399,0.00356754008144,-0.0221074948956,-0.0431526282168
7,2016-04-15 12:00:00,0.015,0.0284324599186,-0.0134324599186,-0.00515262821682,-0.00543245991856,0.0166028941729,-0.00806844132479,-0.00806844132479,-0.00606844132479,0.00456754008144,-0.00806844132479,-0.0241526282168,-0.00171130342565,0.0749319060821,0.0241177453,0.00356754008144,0.0570399,0.0540399,-0.00806844132479,-0.0123368729478,0.0221177453
8,2016-04-17 03:00:00,0.027,0.0408653917163,-0.0138653917163,-0.00415262821682,-0.00543245991856,0.000737220051587,0.00956754008144,0.00956754008144,-0.00306844132479,0.00656754008144,0.00956754008144,-0.0271526282168,0.0116028941729,-0.0341526282168,0.0629319060821,0.00656754008144,0.13917106965,0.0590399,0.00956754008144,-0.0143368729478,0.0267522543
9,2016-04-18 20:00:00,0.039,0.0558646090372,-0.0168646090372,-0.00115262821682,-0.00643245991856,-0.0023971058271,-0.0279476331644,-0.0279476331644,-0.0229476331644,-0.00806844132479,-0.0279476331644,-0.0281526282168,0.0156028941729,-0.0381526282168,0.0579319060821,-0.00806844132479,0.14617106965,0.14117106965,-0.0279476331644,-0.0173368729478,0.0165458404
10,2016-04-20 12:00:00,0.05,0.0679476331644,-0.0179476331644,0.00284737178318,-0.00743245991856,0.0208473717832,0.0115675400814,0.0115675400814,-0.0209476331644,0.00756754008144,0.0115675400814,-0.0281526282168,-0.0204324599186,-0.0411526282168,0.0461393432149,0.00756754008144,0.15317106965,0.14817106965,0.0115675400814,-0.0203368729478,0.0439319060821
11,2016-04-22 03:00:00,0.061,0.0808177491084,-0.0198177491084,0.00984737178318,0.00280543598096,0.00684737178318,0.0105675400814,0.0105675400814,-0.0199476331644,0.00556754008144,0.0105675400814,-0.0271526282168,-0.00419456401904,-0.0451526282168,0.0519319060821,0.00556754008144,0.16117106965,0.15617106965,0.0105675400814,0.00605236683557,-0.00212013048514
12,2016-04-23 20:00:00,0.069,0.0808177491084,-0.0118177491084,0.0168473717832,-0.0124324599186,-0.00715262821682,0.00756754008144,0.00756754008144,-0.0219476331644,0.00256754008144,0.00756754008144,-0.0251526282168,-0.0124324599186,0.0659319060821,0.0489319060821,0.00256754008144,0.16917106965,0.16517106965,0.00756754008144,-0.00881774910835,-0.00812013048514
