Time,Input,Response
datetime,float,float
T,,
04/03/16 20:0,0.219,0.0
04/05/16 12:0,0.219,0.0
04/07/16 03:0,0.22,0.0
04/08/16 20:0,0.221,-0.013
04/10/16 12:0,0.222,-0.013
04/12/16 03:0,0.225,-0.013
04/13/16 20:0,0.228,-0.02
04/15/16 12:0,0.233,-0.02
04/17/16 03:0,0.238,-0.02
04/18/16 20:0,0.245,-0.02
04/20/16 12:0,0.252,-0.02
04/22/16 03:0,0.26,-0.02
04/23/16 20:0,0.268,-0.02
04/25/16 12:0,0.275,0.007
04/27/16 03:0,0.285,-0.072
04/28/16 20:0,0.297,-0.112
04/30/16 12:0,0.308,-0.112
05/02/16 03:0,0.332,-0.395
05/03/16 20:0,0.36,-0.513
05/05/16 12:0,0.388,-0.546
05/07/16 03:0,0.411,-0.474
05/08/16 20:0,0.419,-0.204
05/10/16 12:0,0.419,-0.066
05/12/16 03:0,0.411,0.059
05/13/16 20:0,0.392,0.257
05/15/16 12:0,0.369,0.342
05/17/16 03:0,0.346,0.303
05/18/16 20:0,0.323,0.322
05/20/16 12:0,0.281,0.697
05/22/16 03:0,0.241,0.664
05/23/16 20:0,0.207,0.579
05/25/16 12:0,0.171,0.605
05/27/16 03:0,0.136,0.638
05/28/16 20:0,0.102,0.612
05/30/16 12:0,0.072,0.566
06/01/16 03:0,0.04,0.605
06/02/16 20:0,0.01,0.586
06/04/16 12:0,-0.019,0.579
06/06/16 03:0,-0.046,0.553
06/07/16 20:0,-0.074,0.559
06/09/16 12:0,-0.101,0.546
06/11/16 03:0,-0.13,0.592
06/12/16 20:0,-0.164,0.684
06/14/16 12:0,-0.199,0.678
06/16/16 03:0,-0.232,0.664
06/17/16 20:0,-0.24,0.132
06/19/16 12:0,-0.24,-0.02
06/21/16 03:0,-0.239,-0.026
06/22/16 20:0,-0.242,0.059
06/24/16 12:0,-0.244,0.059
06/26/16 03:0,-0.245,0.033
06/27/16 20:0,-0.242,0.007
06/29/16 12:0,-0.234,-0.079
07/01/16 03:0,-0.219,-0.184
07/02/16 20:0,-0.197,-0.289
07/04/16 12:0,-0.173,-0.296
07/06/16 03:0,-0.147,-0.316
07/07/16 20:0,-0.118,-0.329
07/09/16 12:0,-0.087,-0.362
07/11/16 03:0,-0.052,-0.414
07/12/16 20:0,-0.017,-0.428
07/14/16 12:0,0.022,-0.487
07/16/16 03:0,0.058,-0.441
07/17/16 20:0,0.087,-0.342
07/19/16 12:0,0.108,-0.191
07/21/16 03:0,0.122,-0.099
07/22/16 20:0,0.127,0.033
07/24/16 12:0,0.128,0.066
07/26/16 03:0,0.123,0.145
07/27/16 20:0,0.118,0.086
07/29/16 12:0,0.115,0.0
07/31/16 03:0,0.106,0.072
08/01/16 20:0,0.094,0.099
08/03/16 12:0,0.074,0.23
08/05/16 03:0,0.045,0.382
08/06/16 20:0,-0.005,0.803
08/08/16 12:0,-0.034,0.388
08/10/16 03:0,-0.058,0.296
08/11/16 20:0,-0.081,0.303
08/13/16 12:0,-0.102,0.303
08/15/16 03:0,-0.123,0.329
08/16/16 20:0,-0.143,0.329
08/18/16 12:0,-0.161,0.355
08/20/16 03:0,-0.18,0.421
08/21/16 20:0,-0.194,0.342
08/23/16 12:0,-0.195,0.125
08/25/16 03:0,-0.188,-0.007
08/26/16 20:0,-0.179,-0.026
08/28/16 12:0,-0.165,-0.125
08/30/16 03:0,-0.151,-0.112
08/31/16 20:0,-0.136,-0.151
09/02/16 12:0,-0.116,-0.263
09/04/16 03:0,-0.095,-0.303
09/05/16 20:0,-0.074,-0.336
09/07/16 12:0,-0.05,-0.421
09/09/16 03:0,-0.027,-0.441
09/10/16 20:0,-0.007,-0.428
09/12/16 12:0,0.01,-0.388
09/14/16 03:0,0.021,-0.296
