Time,Input,Response,Error
datetime,float,float,float
T,,,
07/20/16 19:0,0.016,0.0,0.016
07/22/16 12:0,0.016,0.0,0.016
07/24/16 03:0,0.018,-0.007,0.011
07/25/16 19:0,0.022,-0.007,0.015
07/27/16 12:0,0.025,0.007,0.032
07/29/16 03:0,0.029,0.0,0.029
07/30/16 19:0,0.033,-0.013,0.020000000000000004
08/01/16 12:0,0.038,-0.02,0.018
08/03/16 03:0,0.041,-0.02,0.021
08/04/16 19:0,0.045,-0.034,0.010999999999999996
08/06/16 12:0,0.047,-0.047,0.0
08/08/16 03:0,0.048,-0.047,0.0010000000000000009
08/09/16 19:0,0.046,-0.02,0.026
08/11/16 12:0,0.041,0.02,0.061
08/13/16 03:0,0.037,-0.047,-0.010000000000000002
08/14/16 19:0,0.037,-0.141,-0.10399999999999998
08/16/16 12:0,0.032,-0.054,-0.022
08/18/16 03:0,0.027,-0.054,-0.027
08/19/16 19:0,0.021,-0.04,-0.019
08/21/16 12:0,0.017,-0.067,-0.05
08/23/16 03:0,0.013,-0.067,-0.054000000000000006
08/24/16 19:0,0.011,-0.067,-0.05600000000000001
08/26/16 12:0,0.009,-0.04,-0.031
08/28/16 03:0,0.008,-0.007,0.001
08/29/16 19:0,-0.002,0.195,0.193
08/31/16 12:0,-0.009,0.195,0.186
09/02/16 03:0,-0.036,0.638,0.602
09/03/16 19:0,-0.056,0.53,0.47400000000000003
09/05/16 12:0,-0.061,0.289,0.22799999999999998
09/07/16 03:0,-0.069,0.362,0.293
09/08/16 19:0,-0.083,0.517,0.434
09/10/16 12:0,-0.094,0.456,0.362
09/12/16 03:0,-0.091,0.201,0.11000000000000001
09/13/16 19:0,-0.082,0.081,-0.0010000000000000009
09/15/16 12:0,-0.071,0.034,-0.03699999999999999
09/17/16 03:0,-0.059,0.0,-0.059
09/18/16 19:0,-0.047,-0.034,-0.081
09/20/16 12:0,-0.035,-0.054,-0.089
09/22/16 03:0,-0.024,-0.054,-0.078
09/23/16 19:0,-0.013,-0.094,-0.107
09/25/16 12:0,-0.007,-0.034,-0.041
09/27/16 03:0,0.006,-0.208,-0.20199999999999999
09/28/16 19:0,0.02,-0.248,-0.228
09/30/16 12:0,0.034,-0.282,-0.24799999999999997
10/02/16 03:0,0.046,-0.262,-0.21600000000000003
10/03/16 19:0,0.061,-0.322,-0.261
10/05/16 12:0,0.074,-0.309,-0.235
10/07/16 03:0,0.081,-0.195,-0.114
10/08/16 19:0,0.081,-0.067,0.013999999999999999
10/10/16 12:0,0.081,-0.06,0.021000000000000005
10/12/16 03:0,0.077,0.02,0.097
10/13/16 19:0,0.071,0.054,0.125
10/15/16 12:0,0.065,0.06,0.125
10/17/16 03:0,0.06,0.04,0.1
10/18/16 19:0,0.055,0.02,0.075
10/20/16 12:0,0.055,-0.06,-0.0049999999999999975
10/22/16 03:0,0.059,-0.168,-0.10900000000000001
10/23/16 19:0,0.066,-0.228,-0.162
10/25/16 12:0,0.071,-0.201,-0.13
10/27/16 03:0,0.072,-0.148,-0.076
10/28/16 19:0,0.069,-0.074,-0.0049999999999999906
10/30/16 12:0,0.058,0.06,0.118
11/01/16 03:0,0.043,0.134,0.177
11/02/16 19:0,0.031,0.06,0.091
11/04/16 12:0,0.017,0.081,0.098
11/06/16 03:0,0.006,0.04,0.046
11/07/16 19:0,-0.007,0.081,0.074
11/09/16 12:0,-0.019,0.06,0.040999999999999995
11/11/16 03:0,-0.031,0.067,0.036000000000000004
11/12/16 19:0,-0.042,0.087,0.04499999999999999
11/14/16 12:0,-0.052,0.074,0.022
11/16/16 03:0,-0.054,-0.034,-0.088
11/17/16 19:0,-0.06,0.054,-0.005999999999999998
11/19/16 12:0,-0.063,0.047,-0.016
11/21/16 03:0,-0.065,0.047,-0.018000000000000002
11/22/16 19:0,-0.062,-0.027,-0.089
11/24/16 12:0,-0.056,-0.047,-0.10300000000000001
11/26/16 03:0,-0.047,-0.074,-0.121
11/27/16 19:0,-0.036,-0.114,-0.15
11/29/16 12:0,-0.023,-0.141,-0.16399999999999998
12/01/16 03:0,-0.006,-0.221,-0.227
12/02/16 19:0,0.014,-0.302,-0.288
12/04/16 12:0,0.033,-0.289,-0.256
12/06/16 03:0,0.053,-0.315,-0.262
12/07/16 19:0,0.072,-0.329,-0.257
12/09/16 12:0,0.089,-0.322,-0.233
12/11/16 03:0,0.104,-0.315,-0.21100000000000002
12/12/16 19:0,0.119,-0.356,-0.237
12/14/16 12:0,0.132,-0.342,-0.21000000000000002
12/16/16 03:0,0.141,-0.282,-0.141
12/17/16 19:0,0.145,-0.208,-0.063
12/19/16 12:0,0.142,-0.094,0.04799999999999999
12/21/16 03:0,0.136,-0.027,0.10900000000000001
12/22/16 19:0,0.129,-0.02,0.109
12/24/16 12:0,0.123,-0.013,0.11
12/26/16 03:0,0.117,-0.02,0.097
12/27/16 19:0,0.112,-0.007,0.105
12/29/16 12:0,0.105,0.054,0.159
12/31/16 03:0,0.099,0.074,0.173
01/01/17 19:0,0.094,0.087,0.181
01/03/17 12:0,0.092,0.054,0.146
01/05/17 03:0,0.091,0.067,0.158
01/06/17 19:0,0.092,0.054,0.146
01/08/17 12:0,0.094,0.047,0.14100000000000001
01/10/17 03:0,0.097,0.054,0.151
01/11/17 19:0,0.1,0.047,0.14700000000000002
01/13/17 12:0,0.104,0.034,0.138
01/15/17 03:0,0.107,0.047,0.154
01/16/17 19:0,0.108,0.047,0.155
01/18/17 12:0,0.109,0.047,0.156
01/20/17 03:0,0.108,0.04,0.148
01/21/17 19:0,0.104,0.06,0.16399999999999998
01/23/17 12:0,0.096,0.107,0.203
01/25/17 03:0,0.085,0.134,0.21900000000000003
01/26/17 19:0,0.069,0.195,0.264
01/28/17 12:0,0.052,0.181,0.23299999999999998
01/30/17 03:0,0.033,0.201,0.234
01/31/17 19:0,0.016,0.134,0.15000000000000002
02/02/17 12:0,0.001,0.087,0.088
02/04/17 03:0,-0.015,0.107,0.092
02/05/17 19:0,-0.029,0.074,0.045
02/07/17 12:0,-0.044,0.107,0.063
02/09/17 03:0,-0.059,0.128,0.069
02/10/17 19:0,-0.072,0.107,0.035
02/12/17 12:0,-0.083,0.121,0.03799999999999999
02/14/17 03:0,-0.091,0.074,-0.017
02/15/17 19:0,-0.096,0.081,-0.015
02/17/17 12:0,-0.101,0.101,0.0
02/19/17 03:0,-0.101,0.02,-0.081
02/20/17 19:0,-0.1,0.054,-0.046000000000000006
02/22/17 12:0,-0.096,0.013,-0.083
02/24/17 03:0,-0.092,0.034,-0.057999999999999996
02/25/17 19:0,-0.085,-0.013,-0.098
02/27/17 12:0,-0.077,-0.04,-0.11699999999999999
03/01/17 03:0,-0.067,-0.06,-0.127
03/02/17 19:0,-0.058,-0.067,-0.125
03/04/17 12:0,-0.049,-0.074,-0.123
03/06/17 03:0,-0.038,-0.114,-0.152
03/07/17 19:0,-0.028,-0.128,-0.156
03/09/17 12:0,-0.018,-0.154,-0.172
