Time,Input,Response,Error
datetime,float,float,float
T,,,
07/20/16 19:0,0.016,0.0,0.016
07/22/16 12:0,0.016,0.006,0.022
07/24/16 03:0,0.018,0.006,0.024
07/25/16 19:0,0.021,0.006,0.027000000000000003
07/27/16 12:0,0.024,0.006,0.03
07/29/16 03:0,0.028,0.006,0.034
07/30/16 19:0,0.032,0.006,0.038
08/01/16 12:0,0.036,0.006,0.041999999999999996
08/03/16 03:0,0.038,0.006,0.044
08/04/16 19:0,0.04,0.006,0.046
08/06/16 12:0,0.04,0.006,0.046
08/08/16 03:0,0.039,0.006,0.045
08/09/16 19:0,0.036,0.006,0.041999999999999996
08/11/16 12:0,0.031,0.006,0.037
08/13/16 03:0,0.025,0.0,0.025
08/14/16 19:0,0.018,0.006,0.024
08/16/16 12:0,0.011,0.0,0.011
08/18/16 03:0,0.003,0.006,0.009000000000000001
08/19/16 19:0,-0.006,0.006,0.0
08/21/16 12:0,-0.013,0.006,-0.006999999999999999
08/23/16 03:0,-0.02,0.006,-0.014
08/24/16 19:0,-0.026,0.006,-0.019999999999999997
08/26/16 12:0,-0.03,0.006,-0.024
08/28/16 03:0,-0.031,0.006,-0.025
08/29/16 19:0,-0.031,0.006,-0.025
08/31/16 12:0,-0.029,0.006,-0.023
09/02/16 03:0,-0.024,0.006,-0.018000000000000002
09/03/16 19:0,-0.017,0.006,-0.011000000000000001
09/05/16 12:0,-0.009,0.006,-0.002999999999999999
09/07/16 03:0,0.002,0.006,0.008
09/08/16 19:0,0.013,0.0,0.013
09/10/16 12:0,0.026,0.006,0.032
09/12/16 03:0,0.038,0.006,0.044
09/13/16 19:0,0.051,0.006,0.056999999999999995
09/15/16 12:0,0.064,0.006,0.07
09/17/16 03:0,0.076,0.006,0.082
09/18/16 19:0,0.086,0.006,0.092
09/20/16 12:0,0.096,0.006,0.10200000000000001
09/22/16 03:0,0.103,0.03,0.133
09/23/16 19:0,0.109,0.042,0.151
09/25/16 12:0,0.114,0.06,0.174
09/27/16 03:0,0.117,0.066,0.183
09/28/16 19:0,0.118,0.06,0.178
09/30/16 12:0,0.118,0.048,0.16599999999999998
10/02/16 03:0,0.117,0.042,0.159
10/03/16 19:0,0.116,0.06,0.176
10/05/16 12:0,0.113,0.054,0.167
10/07/16 03:0,0.11,0.054,0.164
10/08/16 19:0,0.107,0.06,0.16699999999999998
10/10/16 12:0,0.104,0.078,0.182
10/12/16 03:0,0.101,0.06,0.161
10/13/16 19:0,0.097,0.102,0.199
10/15/16 12:0,0.094,0.145,0.239
10/17/16 03:0,0.09,0.169,0.259
10/18/16 19:0,0.087,0.157,0.244
10/20/16 12:0,0.082,0.175,0.257
10/22/16 03:0,0.078,0.211,0.289
10/23/16 19:0,0.073,0.229,0.302
10/25/16 12:0,0.067,0.163,0.23
10/27/16 03:0,0.06,0.199,0.259
10/28/16 19:0,0.053,0.199,0.252
10/30/16 12:0,0.045,0.229,0.274
11/01/16 03:0,0.035,0.277,0.31200000000000006
11/02/16 19:0,0.025,0.355,0.38
11/04/16 12:0,0.015,0.199,0.21400000000000002
11/06/16 03:0,0.004,0.259,0.263
11/07/16 19:0,-0.006,0.271,0.265
11/09/16 12:0,-0.017,0.277,0.26
11/11/16 03:0,-0.026,0.289,0.26299999999999996
11/12/16 19:0,-0.035,0.307,0.272
11/14/16 12:0,-0.043,0.301,0.258
11/16/16 03:0,-0.049,0.277,0.22800000000000004
11/17/16 19:0,-0.054,0.295,0.241
11/19/16 12:0,-0.057,0.277,0.22000000000000003
11/21/16 03:0,-0.059,0.277,0.21800000000000003
11/22/16 19:0,-0.059,0.295,0.236
11/24/16 12:0,-0.058,0.307,0.249
11/26/16 03:0,-0.056,0.319,0.263
11/27/16 19:0,-0.054,0.319,0.265
11/29/16 12:0,-0.051,0.355,0.304
12/01/16 03:0,-0.048,0.337,0.28900000000000003
12/02/16 19:0,-0.045,0.337,0.29200000000000004
12/04/16 12:0,-0.043,0.319,0.276
12/06/16 03:0,-0.043,0.307,0.264
12/07/16 19:0,-0.043,0.355,0.312
12/09/16 12:0,-0.045,0.386,0.341
12/11/16 03:0,-0.049,0.38,0.331
12/12/16 19:0,-0.055,0.337,0.28200000000000003
12/14/16 12:0,-0.062,0.337,0.275
12/16/16 03:0,-0.07,0.38,0.31
12/17/16 19:0,-0.08,0.398,0.318
12/19/16 12:0,-0.09,0.386,0.29600000000000004
12/21/16 03:0,-0.101,0.349,0.24799999999999997
12/22/16 19:0,-0.111,0.343,0.23200000000000004
12/24/16 12:0,-0.122,0.367,0.245
12/26/16 03:0,-0.131,0.349,0.21799999999999997
12/27/16 19:0,-0.14,0.367,0.22699999999999998
12/29/16 12:0,-0.147,0.361,0.214
12/31/16 03:0,-0.153,0.343,0.19000000000000003
01/01/17 19:0,-0.157,0.331,0.17400000000000002
01/03/17 12:0,-0.159,0.331,0.17200000000000001
01/05/17 03:0,-0.16,0.331,0.171
01/06/17 19:0,-0.159,0.331,0.17200000000000001
01/08/17 12:0,-0.158,0.355,0.19699999999999998
01/10/17 03:0,-0.155,0.367,0.212
01/11/17 19:0,-0.152,0.361,0.209
01/13/17 12:0,-0.15,0.38,0.23
01/15/17 03:0,-0.147,0.367,0.22
01/16/17 19:0,-0.146,0.373,0.227
01/18/17 12:0,-0.146,0.331,0.18500000000000003
01/20/17 03:0,-0.147,0.38,0.233
01/21/17 19:0,-0.15,0.223,0.07300000000000001
01/23/17 12:0,-0.155,0.133,-0.021999999999999992
01/25/17 03:0,-0.161,0.139,-0.021999999999999992
01/26/17 19:0,-0.17,0.066,-0.10400000000000001
01/28/17 12:0,-0.179,0.078,-0.10099999999999999
01/30/17 03:0,-0.191,0.151,-0.04000000000000001
01/31/17 19:0,-0.203,0.096,-0.10700000000000001
02/02/17 12:0,-0.215,0.078,-0.137
02/04/17 03:0,-0.228,0.03,-0.198
02/05/17 19:0,-0.24,0.018,-0.222
02/07/17 12:0,-0.251,0.024,-0.227
02/09/17 03:0,-0.261,0.054,-0.20700000000000002
02/10/17 19:0,-0.269,0.169,-0.1
02/12/17 12:0,-0.275,-0.006,-0.281
02/14/17 03:0,-0.278,0.03,-0.24800000000000003
02/15/17 19:0,-0.28,-0.03,-0.31000000000000005
02/17/17 12:0,-0.28,-0.096,-0.376
02/19/17 03:0,-0.277,-0.096,-0.373
02/20/17 19:0,-0.273,-0.114,-0.387
02/22/17 12:0,-0.267,-0.145,-0.41200000000000003
02/24/17 03:0,-0.259,-0.169,-0.42800000000000005
02/25/17 19:0,-0.251,-0.151,-0.402
02/27/17 12:0,-0.243,-0.157,-0.4
03/01/17 03:0,-0.234,-0.139,-0.373
03/02/17 19:0,-0.226,-0.145,-0.371
03/04/17 12:0,-0.218,-0.163,-0.381
03/06/17 03:0,-0.21,-0.169,-0.379
03/07/17 19:0,-0.203,-0.169,-0.372
03/09/17 12:0,-0.197,-0.181,-0.378
03/11/17 03:0,-0.191,-0.181,-0.372
03/12/17 19:0,-0.186,-0.163,-0.349
