Time,Input,Response,Error
datetime,float,float,float
T,,,
07/20/16 19:0,0.016,0.0,0.016
07/22/16 12:0,0.016,0.0,0.016
07/24/16 03:0,0.018,0.0,0.018
07/25/16 19:0,0.021,0.0,0.021
07/27/16 12:0,0.024,0.0,0.024
07/29/16 03:0,0.028,0.006,0.034
07/30/16 19:0,0.032,0.006,0.038
08/01/16 12:0,0.036,0.011,0.047
08/03/16 03:0,0.038,0.006,0.044
08/04/16 19:0,0.04,0.006,0.046
08/06/16 12:0,0.04,-0.006,0.034
08/08/16 03:0,0.039,0.0,0.039
08/09/16 19:0,0.036,-0.006,0.03
08/11/16 12:0,0.031,-0.006,0.025
08/13/16 03:0,0.026,-0.011,0.015
08/14/16 19:0,0.019,-0.006,0.013
08/16/16 12:0,0.011,-0.006,0.004999999999999999
08/18/16 03:0,0.003,-0.006,-0.003
08/19/16 19:0,-0.005,-0.006,-0.011
08/21/16 12:0,-0.013,-0.006,-0.019
08/23/16 03:0,-0.02,-0.006,-0.026000000000000002
08/24/16 19:0,-0.025,-0.006,-0.031
08/26/16 12:0,-0.029,-0.006,-0.035
08/28/16 03:0,-0.031,-0.006,-0.037
08/29/16 19:0,-0.031,-0.006,-0.037
08/31/16 12:0,-0.028,-0.006,-0.034
09/02/16 03:0,-0.023,-0.006,-0.028999999999999998
09/03/16 19:0,-0.017,-0.006,-0.023
09/05/16 12:0,-0.008,-0.006,-0.014
09/07/16 03:0,0.003,-0.006,-0.003
09/08/16 19:0,0.014,-0.095,-0.081
09/10/16 12:0,0.027,-0.006,0.020999999999999998
09/12/16 03:0,0.04,0.011,0.051000000000000004
09/13/16 19:0,0.053,0.006,0.059
09/15/16 12:0,0.066,-0.006,0.060000000000000005
09/17/16 03:0,0.077,0.0,0.077
09/18/16 19:0,0.088,-0.006,0.08199999999999999
09/20/16 12:0,0.097,-0.006,0.091
09/22/16 03:0,0.105,0.0,0.105
09/23/16 19:0,0.112,-0.017,0.095
09/25/16 12:0,0.116,0.028,0.14400000000000002
09/27/16 03:0,0.119,0.084,0.203
09/28/16 19:0,0.121,0.045,0.16599999999999998
09/30/16 12:0,0.121,0.089,0.21
10/02/16 03:0,0.121,0.022,0.143
10/03/16 19:0,0.119,0.011,0.13
10/05/16 12:0,0.117,0.112,0.229
10/07/16 03:0,0.114,0.05,0.164
10/08/16 19:0,0.111,0.017,0.128
10/10/16 12:0,0.108,0.0,0.108
10/12/16 03:0,0.105,0.034,0.139
10/13/16 19:0,0.102,0.05,0.152
10/15/16 12:0,0.098,0.067,0.165
10/17/16 03:0,0.095,-0.045,0.05
10/18/16 19:0,0.091,0.028,0.119
10/20/16 12:0,0.087,0.056,0.143
10/22/16 03:0,0.083,0.039,0.122
10/23/16 19:0,0.078,0.006,0.084
10/25/16 12:0,0.072,0.006,0.078
10/27/16 03:0,0.066,-0.011,0.05500000000000001
10/28/16 19:0,0.058,0.006,0.064
10/30/16 12:0,0.05,-0.006,0.044000000000000004
11/01/16 03:0,0.041,0.022,0.063
11/02/16 19:0,0.032,0.022,0.054
11/04/16 12:0,0.022,0.028,0.05
11/06/16 03:0,0.012,0.045,0.056999999999999995
11/07/16 19:0,0.003,0.034,0.037000000000000005
11/09/16 12:0,-0.007,0.028,0.021
11/11/16 03:0,-0.015,0.045,0.03
11/12/16 19:0,-0.023,0.134,0.11100000000000002
11/14/16 12:0,-0.029,0.123,0.094
11/16/16 03:0,-0.033,0.112,0.079
11/17/16 19:0,-0.036,0.123,0.087
11/19/16 12:0,-0.038,0.123,0.08499999999999999
11/21/16 03:0,-0.037,0.134,0.097
11/22/16 19:0,-0.035,0.134,0.099
11/24/16 12:0,-0.032,0.134,0.10200000000000001
11/26/16 03:0,-0.028,0.112,0.084
11/27/16 19:0,-0.023,0.112,0.089
11/29/16 12:0,-0.017,0.112,0.095
12/01/16 03:0,-0.012,0.112,0.1
12/02/16 19:0,-0.007,0.112,0.105
12/04/16 12:0,-0.003,0.112,0.109
12/06/16 03:0,0.0,0.112,0.112
12/07/16 19:0,0.001,0.106,0.107
12/09/16 12:0,0.001,0.112,0.113
12/11/16 03:0,-0.001,0.106,0.105
12/12/16 19:0,-0.004,0.112,0.108
12/14/16 12:0,-0.009,0.106,0.097
12/16/16 03:0,-0.016,0.106,0.09
12/17/16 19:0,-0.023,0.106,0.08299999999999999
12/19/16 12:0,-0.032,0.112,0.08
12/21/16 03:0,-0.04,0.106,0.066
12/22/16 19:0,-0.049,0.106,0.056999999999999995
12/24/16 12:0,-0.058,0.112,0.054
12/26/16 03:0,-0.065,0.106,0.040999999999999995
12/27/16 19:0,-0.072,0.112,0.04000000000000001
12/29/16 12:0,-0.077,0.112,0.035
12/31/16 03:0,-0.081,0.112,0.031
01/01/17 19:0,-0.083,0.117,0.034
01/03/17 12:0,-0.083,0.123,0.039999999999999994
01/05/17 03:0,-0.082,0.117,0.035
01/06/17 19:0,-0.079,0.117,0.038000000000000006
01/08/17 12:0,-0.076,0.123,0.047
01/10/17 03:0,-0.072,0.123,0.051000000000000004
01/11/17 19:0,-0.067,0.123,0.055999999999999994
01/13/17 12:0,-0.062,0.112,0.05
01/15/17 03:0,-0.058,0.112,0.054
01/16/17 19:0,-0.055,0.017,-0.038
01/18/17 12:0,-0.053,0.117,0.064
01/20/17 03:0,-0.053,0.123,0.07
01/21/17 19:0,-0.055,0.128,0.07300000000000001
01/23/17 12:0,-0.058,0.123,0.065
01/25/17 03:0,-0.063,0.128,0.065
01/26/17 19:0,-0.07,0.117,0.047
01/28/17 12:0,-0.079,0.117,0.038000000000000006
01/30/17 03:0,-0.089,0.117,0.02800000000000001
01/31/17 19:0,-0.1,0.112,0.011999999999999997
02/02/17 12:0,-0.111,0.112,0.0010000000000000009
02/04/17 03:0,-0.122,0.106,-0.016
02/05/17 19:0,-0.133,0.112,-0.021000000000000005
02/07/17 12:0,-0.144,0.117,-0.026999999999999982
02/09/17 03:0,-0.153,0.117,-0.03599999999999999
02/10/17 19:0,-0.161,0.101,-0.06
02/12/17 12:0,-0.167,0.106,-0.06100000000000001
02/14/17 03:0,-0.171,0.084,-0.08700000000000001
02/15/17 19:0,-0.173,0.078,-0.09499999999999999
02/17/17 12:0,-0.174,0.05,-0.12399999999999999
02/19/17 03:0,-0.172,0.022,-0.15
02/20/17 19:0,-0.17,0.05,-0.12000000000000001
02/22/17 12:0,-0.165,0.039,-0.126
02/24/17 03:0,-0.16,0.039,-0.121
02/25/17 19:0,-0.154,0.006,-0.148
02/27/17 12:0,-0.148,-0.017,-0.16499999999999998
03/01/17 03:0,-0.142,-0.028,-0.16999999999999998
03/02/17 19:0,-0.136,-0.034,-0.17
03/04/17 12:0,-0.131,-0.039,-0.17
03/06/17 03:0,-0.127,-0.034,-0.161
03/07/17 19:0,-0.123,-0.022,-0.145
03/09/17 12:0,-0.12,-0.022,-0.142
03/11/17 03:0,-0.118,-0.022,-0.13999999999999999
03/12/17 19:0,-0.117,0.05,-0.067
