Time,Input,Response,Error
datetime,float,float,float
T,,,
03/06/17 03:0,0.089,0.424,0.513
03/07/17 19:0,0.095,0.43,0.525
03/09/17 12:0,0.1,0.442,0.542
03/11/17 03:0,0.104,0.471,0.575
03/12/17 19:0,0.107,0.483,0.59
03/14/17 12:0,0.109,0.459,0.5680000000000001
03/16/17 03:0,0.11,0.453,0.5630000000000001
03/17/17 19:0,0.11,0.453,0.5630000000000001
03/19/17 12:0,0.11,0.459,0.5690000000000001
03/21/17 03:0,0.109,0.459,0.5680000000000001
03/22/17 19:0,0.108,0.471,0.579
03/24/17 12:0,0.108,0.471,0.579
03/26/17 03:0,0.108,0.471,0.579
03/27/17 19:0,0.108,0.483,0.591
03/29/17 12:0,0.109,0.506,0.615
03/31/17 03:0,0.11,0.517,0.627
04/01/17 19:0,0.111,0.523,0.634
04/03/17 12:0,0.113,0.529,0.642
04/05/17 03:0,0.115,0.448,0.5630000000000001
04/06/17 19:0,0.117,0.535,0.652
04/08/17 12:0,0.119,0.535,0.654
04/10/17 03:0,0.12,0.564,0.6839999999999999
04/11/17 19:0,0.12,0.558,0.678
04/13/17 12:0,0.119,0.552,0.671
04/15/17 03:0,0.117,0.541,0.658
04/16/17 19:0,0.114,0.541,0.655
04/18/17 12:0,0.109,0.558,0.667
04/20/17 03:0,0.104,0.57,0.6739999999999999
04/21/17 19:0,0.097,0.564,0.6609999999999999
04/23/17 12:0,0.089,0.558,0.647
04/25/17 03:0,0.08,0.57,0.6499999999999999
04/26/17 19:0,0.07,0.581,0.651
04/28/17 12:0,0.061,0.599,0.6599999999999999
04/30/17 03:0,0.051,0.599,0.65
05/01/17 19:0,0.042,0.581,0.623
05/03/17 12:0,0.033,0.599,0.632
05/05/17 03:0,0.025,0.599,0.624
05/06/17 19:0,0.018,0.61,0.628
05/08/17 12:0,0.012,0.605,0.617
05/10/17 03:0,0.007,0.587,0.594
05/11/17 19:0,0.003,0.616,0.619
05/13/17 12:0,-0.001,0.547,0.546
05/15/17 03:0,-0.003,0.628,0.625
05/16/17 19:0,-0.006,0.605,0.599
05/18/17 12:0,-0.008,0.593,0.585
05/20/17 03:0,-0.011,0.605,0.594
05/21/17 19:0,-0.015,0.593,0.578
05/23/17 12:0,-0.02,0.593,0.573
05/25/17 03:0,-0.026,0.605,0.579
05/26/17 19:0,-0.034,0.616,0.582
05/28/17 12:0,-0.044,0.616,0.572
05/30/17 03:0,-0.055,0.622,0.567
05/31/17 19:0,-0.069,0.622,0.5529999999999999
06/02/17 12:0,-0.084,0.61,0.526
06/04/17 03:0,-0.1,0.61,0.51
06/05/17 19:0,-0.117,0.61,0.493
06/07/17 12:0,-0.135,0.628,0.493
06/09/17 03:0,-0.153,0.651,0.498
06/10/17 19:0,-0.17,0.628,0.45799999999999996
06/12/17 12:0,-0.187,0.61,0.423
06/14/17 03:0,-0.202,0.599,0.39699999999999996
06/15/17 19:0,-0.215,0.605,0.39
06/17/17 12:0,-0.226,0.628,0.402
06/19/17 03:0,-0.235,0.616,0.381
06/20/17 19:0,-0.241,0.616,0.375
06/22/17 12:0,-0.244,0.622,0.378
06/24/17 03:0,-0.244,0.605,0.361
06/25/17 19:0,-0.243,0.576,0.33299999999999996
06/27/17 12:0,-0.238,0.581,0.34299999999999997
06/29/17 03:0,-0.233,0.593,0.36
06/30/17 19:0,-0.225,0.587,0.362
07/02/17 12:0,-0.217,0.576,0.359
07/04/17 03:0,-0.209,0.558,0.3490000000000001
07/05/17 19:0,-0.2,0.512,0.312
07/07/17 12:0,-0.192,0.477,0.285
07/09/17 03:0,-0.185,0.448,0.263
07/10/17 19:0,-0.18,0.471,0.291
07/12/17 12:0,-0.175,0.384,0.20900000000000002
07/14/17 03:0,-0.172,0.331,0.15900000000000003
07/15/17 19:0,-0.171,0.297,0.12599999999999997
07/17/17 12:0,-0.171,0.256,0.08499999999999999
