Time,Input,Response
datetime,float,float
T,,
08/05/19 03:0,-0.012,-0.118
08/06/19 20:0,-0.026,0.053
08/08/19 12:0,-0.037,0.047
08/10/19 03:0,-0.045,0.035
08/11/19 20:0,-0.051,0.041
08/13/19 12:0,-0.053,0.035
08/15/19 03:0,-0.026,-0.494
08/16/19 20:0,-0.022,0.041
08/18/19 12:0,-0.017,0.059
08/20/19 03:0,-0.009,0.035
08/21/19 20:0,0.0,0.041
08/23/19 12:0,0.011,0.041
08/25/19 03:0,0.023,0.035
08/26/19 20:0,0.036,0.029
08/28/19 12:0,0.048,0.018
08/30/19 03:0,0.062,-0.006
08/31/19 20:0,0.074,-0.012
09/02/19 12:0,0.085,-0.012
09/04/19 03:0,0.095,-0.012
09/05/19 20:0,0.103,-0.018
09/07/19 12:0,0.11,-0.029
09/09/19 03:0,0.115,-0.012
09/10/19 20:0,0.119,-0.012
09/12/19 12:0,0.121,0.0
09/14/19 03:0,0.121,0.012
09/15/19 20:0,0.121,0.018
09/17/19 12:0,0.12,0.035
09/19/19 03:0,0.118,0.053
09/20/19 20:0,0.116,0.047
09/22/19 12:0,0.114,0.082
09/24/19 03:0,0.112,0.076
09/25/19 20:0,0.11,0.082
09/27/19 12:0,0.109,0.094
09/29/19 03:0,0.108,0.088
09/30/19 20:0,0.107,0.082
10/02/19 12:0,0.107,0.094
10/04/19 03:0,0.106,0.094
10/05/19 20:0,0.105,0.088
10/07/19 12:0,0.104,0.082
10/09/19 03:0,0.101,0.1
10/10/19 20:0,0.096,0.118
10/12/19 12:0,0.09,0.129
10/14/19 03:0,0.083,0.118
10/15/19 20:0,0.075,0.106
10/17/19 12:0,0.067,0.1
10/19/19 03:0,0.057,0.118
10/20/19 20:0,0.047,0.112
10/22/19 12:0,0.035,0.124
10/24/19 03:0,0.024,0.124
10/25/19 20:0,0.012,0.129
10/27/19 12:0,0.001,0.141
10/29/19 03:0,-0.009,0.124
10/30/19 20:0,-0.018,0.112
11/01/19 12:0,-0.026,0.112
11/03/19 03:0,-0.032,0.112
11/04/19 20:0,-0.038,0.106
11/06/19 12:0,-0.042,0.112
11/08/19 03:0,-0.046,0.106
11/09/19 20:0,-0.049,0.124
11/11/19 12:0,-0.052,0.112
11/13/19 03:0,-0.055,0.112
11/14/19 20:0,-0.057,0.112
11/16/19 12:0,-0.061,0.118
11/18/19 03:0,-0.066,0.135
11/19/19 20:0,-0.072,0.129
11/21/19 12:0,-0.079,0.129
11/23/19 03:0,-0.086,0.129
11/24/19 20:0,-0.094,0.1
11/26/19 12:0,-0.101,0.094
11/28/19 03:0,-0.109,0.082
11/29/19 20:0,-0.117,0.071
12/01/19 12:0,-0.125,0.071
12/03/19 03:0,-0.132,0.071
12/04/19 20:0,-0.141,0.106
12/06/19 12:0,-0.147,0.065
12/08/19 03:0,-0.151,0.059
12/09/19 20:0,-0.154,0.053
12/11/19 12:0,-0.154,0.035
12/13/19 03:0,-0.152,0.035
12/14/19 20:0,-0.149,0.024
12/16/19 12:0,-0.143,0.024
12/18/19 03:0,-0.137,0.029
12/19/19 20:0,-0.128,0.0
12/21/19 12:0,-0.119,0.006
12/23/19 03:0,-0.109,-0.018
12/24/19 20:0,-0.099,-0.018
12/26/19 12:0,-0.089,-0.035
12/28/19 03:0,-0.079,-0.053
12/29/19 20:0,-0.071,-0.065
12/31/19 12:0,-0.064,-0.071
01/02/20 03:0,-0.059,-0.071
01/03/20 20:0,-0.057,-0.076
01/05/20 12:0,-0.058,-0.059
01/07/20 03:0,-0.062,-0.059
01/08/20 20:0,-0.067,-0.059
01/10/20 12:0,-0.075,-0.047
01/12/20 03:0,-0.085,-0.047
01/13/20 20:0,-0.096,-0.041
01/15/20 12:0,-0.108,-0.035
01/17/20 03:0,-0.12,-0.029
01/18/20 20:0,-0.132,-0.018
01/20/20 12:0,-0.143,-0.012
01/22/20 03:0,-0.153,-0.012
01/23/20 20:0,-0.16,-0.024
01/25/20 12:0,-0.165,-0.029
01/27/20 03:0,-0.168,-0.012
01/28/20 20:0,-0.169,-0.018
01/30/20 12:0,-0.166,-0.041
02/01/20 03:0,-0.16,-0.059
02/02/20 20:0,-0.153,-0.065
02/04/20 12:0,-0.143,-0.076
02/06/20 03:0,-0.131,-0.082
02/07/20 20:0,-0.119,-0.088
02/09/20 12:0,-0.107,-0.094
02/11/20 03:0,-0.094,-0.094
02/12/20 20:0,-0.083,-0.094
02/14/20 12:0,-0.071,-0.106
02/16/20 03:0,-0.061,-0.112
02/17/20 20:0,-0.052,-0.112
02/19/20 12:0,-0.044,-0.118
02/21/20 03:0,-0.037,-0.129
02/22/20 20:0,-0.031,-0.129
02/24/20 12:0,-0.025,-0.135
02/26/20 03:0,-0.021,-0.141
02/27/20 20:0,-0.017,-0.135
02/29/20 12:0,-0.014,-0.129
03/02/20 03:0,-0.011,-0.124
03/03/20 20:0,-0.009,-0.118
03/05/20 12:0,-0.006,-0.112
03/07/20 03:0,-0.003,-0.112
03/08/20 20:0,0.002,-0.118
03/10/20 12:0,0.007,-0.124
03/12/20 03:0,0.012,-0.124
03/13/20 20:0,0.019,-0.124
03/15/20 12:0,0.025,-0.118
03/17/20 03:0,0.031,-0.118
03/18/20 20:0,0.037,-0.112
03/20/20 12:0,0.043,-0.112
03/22/20 03:0,0.05,-0.153
03/23/20 20:0,0.055,-0.112
03/25/20 12:0,0.059,-0.118
03/27/20 03:0,0.062,-0.124
03/28/20 20:0,0.065,-0.124
03/30/20 12:0,0.066,-0.129
04/01/20 03:0,0.075,-0.282
04/02/20 20:0,0.074,-0.106
04/04/20 12:0,0.072,-0.088
04/06/20 03:0,0.069,-0.076
04/07/20 20:0,0.067,-0.076
04/09/20 12:0,0.083,-0.447
04/11/20 03:0,0.075,0.065
04/12/20 20:0,0.066,0.082
04/14/20 12:0,0.058,0.088
04/16/20 03:0,0.054,0.053
04/17/20 20:0,0.051,0.035
04/19/20 12:0,0.076,-0.5
04/21/20 03:0,0.076,0.018
04/22/20 20:0,0.077,0.018
04/24/20 12:0,0.078,0.024
04/26/20 03:0,0.078,0.035
04/27/20 20:0,0.08,0.024
04/29/20 12:0,0.09,-0.165
05/01/20 03:0,0.09,0.018
05/02/20 20:0,0.09,0.006
05/04/20 12:0,0.087,0.024
05/06/20 03:0,0.083,0.035
05/07/20 20:0,0.078,0.024
05/09/20 12:0,0.082,-0.171
05/11/20 03:0,0.074,0.029
05/12/20 20:0,0.065,0.035
05/14/20 12:0,0.054,0.076
05/16/20 03:0,0.041,0.1
05/17/20 20:0,0.028,0.106
05/19/20 12:0,0.024,-0.076
05/21/20 03:0,0.014,0.082
05/22/20 20:0,0.006,0.071
05/24/20 12:0,-0.001,0.076
05/26/20 03:0,-0.006,0.076
05/27/20 20:0,-0.009,0.082
05/29/20 12:0,-0.01,0.076
05/31/20 03:0,-0.008,0.071
06/01/20 20:0,-0.004,0.065
06/03/20 12:0,0.001,0.065
06/05/20 03:0,0.008,0.053
06/06/20 20:0,0.015,0.076
06/08/20 12:0,0.022,0.071
06/10/20 03:0,0.03,0.071
06/11/20 20:0,0.036,0.071
06/13/20 12:0,0.041,0.071
06/15/20 03:0,0.045,0.071
06/16/20 20:0,0.047,0.071
06/18/20 12:0,0.047,0.071
06/20/20 03:0,0.046,0.047
06/21/20 20:0,0.043,0.035
06/23/20 12:0,0.037,0.053
06/25/20 03:0,0.029,0.059
06/26/20 20:0,0.019,0.065
06/28/20 12:0,0.008,0.065
06/30/20 03:0,-0.004,0.065
07/01/20 20:0,-0.015,0.059
07/03/20 12:0,-0.027,0.065
07/05/20 03:0,-0.038,0.059
07/06/20 20:0,-0.047,0.059
07/08/20 12:0,-0.056,0.065
07/10/20 03:0,-0.062,0.065
07/11/20 20:0,-0.067,0.065
07/13/20 12:0,-0.07,0.059
07/15/20 03:0,-0.071,0.065
07/16/20 20:0,-0.07,0.053
07/18/20 12:0,-0.068,0.059
07/20/20 03:0,-0.066,0.071
07/21/20 20:0,-0.062,0.065
07/23/20 12:0,-0.058,0.059
07/25/20 03:0,-0.054,0.059
07/26/20 20:0,-0.051,0.065
07/28/20 12:0,-0.049,0.076
07/30/20 03:0,-0.048,0.065
07/31/20 20:0,-0.047,0.047
08/02/20 12:0,-0.048,0.041
08/04/20 03:0,-0.05,0.035
08/05/20 20:0,-0.053,0.029
08/07/20 12:0,-0.057,0.024
08/09/20 03:0,-0.062,0.018
08/10/20 20:0,-0.068,0.0
08/12/20 12:0,-0.074,0.0
08/14/20 03:0,-0.081,0.018
08/15/20 20:0,-0.088,0.006
08/17/20 12:0,-0.095,0.006
08/19/20 03:0,-0.103,0.029
08/20/20 20:0,-0.109,-0.006
08/22/20 12:0,-0.112,-0.035
08/24/20 03:0,-0.117,-0.012
08/25/20 20:0,-0.12,-0.029
08/27/20 12:0,-0.123,-0.029
08/29/20 03:0,-0.125,-0.035
08/30/20 20:0,-0.127,-0.035
09/01/20 12:0,-0.129,-0.035
09/03/20 03:0,-0.131,-0.024
09/04/20 20:0,-0.134,-0.029
09/06/20 12:0,-0.137,-0.047
09/08/20 03:0,-0.139,-0.053
09/09/20 20:0,-0.142,-0.065
09/11/20 12:0,-0.145,-0.071
09/13/20 03:0,-0.148,-0.071
09/14/20 20:0,-0.151,-0.076
09/16/20 12:0,-0.154,-0.076
09/18/20 03:0,-0.157,-0.076
09/19/20 20:0,-0.158,-0.082
09/21/20 12:0,-0.159,-0.082
09/23/20 03:0,-0.159,-0.082
09/24/20 20:0,-0.157,-0.082
09/26/20 12:0,-0.153,-0.082
09/28/20 03:0,-0.148,-0.082
09/29/20 20:0,-0.141,-0.076
10/01/20 12:0,-0.133,-0.076
10/03/20 03:0,-0.122,-0.082
10/04/20 20:0,-0.11,-0.088
10/06/20 12:0,-0.096,-0.088
10/08/20 03:0,-0.082,-0.082
10/09/20 20:0,-0.068,-0.082
10/11/20 12:0,-0.053,-0.082
10/13/20 03:0,-0.039,-0.082
10/14/20 20:0,-0.025,-0.094
10/16/20 12:0,-0.013,-0.088
10/18/20 03:0,-0.003,-0.088
10/19/20 20:0,0.006,-0.088
10/21/20 12:0,0.013,-0.082
10/23/20 03:0,0.017,-0.071
10/24/20 20:0,0.019,-0.053
10/26/20 12:0,0.018,-0.029
10/28/20 03:0,0.015,-0.012
10/29/20 20:0,0.009,0.012
10/31/20 12:0,0.004,0.0
11/02/20 03:0,-0.002,0.006
11/03/20 20:0,-0.008,0.012
11/05/20 12:0,-0.014,0.035
11/07/20 03:0,-0.019,0.035
11/08/20 20:0,-0.023,0.041
11/10/20 12:0,-0.026,0.047
11/12/20 03:0,-0.027,0.041
11/13/20 20:0,-0.026,0.035
11/15/20 12:0,-0.023,0.029
11/17/20 03:0,-0.02,0.035
11/18/20 20:0,-0.014,0.024
11/20/20 12:0,-0.007,0.012
11/22/20 03:0,-0.001,0.029
11/23/20 20:0,0.004,0.029
11/25/20 12:0,0.01,0.024
11/27/20 03:0,0.014,0.018
11/28/20 20:0,0.017,0.024
11/30/20 12:0,0.019,0.018
12/02/20 03:0,0.019,0.0
12/03/20 20:0,0.018,-0.018
12/05/20 12:0,0.015,-0.024
12/07/20 03:0,0.011,-0.029
12/08/20 20:0,0.005,-0.035
12/10/20 12:0,-0.003,-0.018
12/12/20 03:0,-0.012,-0.024
12/13/20 20:0,-0.021,-0.029
12/15/20 12:0,-0.03,-0.029
12/17/20 03:0,-0.039,-0.024
12/18/20 20:0,-0.047,-0.029
12/20/20 12:0,-0.053,-0.029
12/22/20 03:0,-0.058,-0.029
12/23/20 20:0,-0.058,-0.076
12/25/20 12:0,-0.059,-0.012
12/27/20 03:0,-0.058,-0.018
12/28/20 20:0,-0.055,-0.018
12/30/20 12:0,-0.05,-0.006
01/01/21 03:0,-0.044,0.0
01/02/21 20:0,-0.026,-0.194
01/04/21 12:0,-0.016,-0.018
01/06/21 03:0,-0.006,0.0
01/07/21 20:0,0.005,-0.012
01/09/21 12:0,0.017,-0.012
01/11/21 03:0,0.028,-0.006
01/12/21 20:0,0.047,-0.176
01/14/21 12:0,0.056,0.0
01/16/21 03:0,0.066,-0.024
01/17/21 20:0,0.075,-0.035
01/19/21 12:0,0.083,-0.041
01/21/21 03:0,0.091,-0.035
01/22/21 20:0,0.107,-0.224
01/24/21 12:0,0.113,-0.041
01/26/21 03:0,0.119,-0.041
01/27/21 20:0,0.125,-0.047
01/29/21 12:0,0.131,-0.047
01/31/21 03:0,0.136,-0.035
02/01/21 20:0,0.167,-0.553
02/03/21 12:0,0.174,-0.053
02/05/21 03:0,0.181,-0.065
02/06/21 20:0,0.189,-0.071
02/08/21 12:0,0.196,-0.071
02/10/21 03:0,0.204,-0.071
02/11/21 20:0,0.237,-0.594
02/13/21 12:0,0.244,-0.071
02/15/21 03:0,0.251,-0.076
02/16/21 20:0,0.256,-0.076
02/18/21 12:0,0.261,-0.076
02/20/21 03:0,0.264,-0.076
02/21/21 20:0,0.276,-0.271
02/23/21 12:0,0.277,-0.082
02/25/21 03:0,0.276,-0.065
02/26/21 20:0,0.27,0.035
02/28/21 12:0,0.258,0.124
03/02/21 03:0,0.242,0.218
03/03/21 20:0,0.239,-0.053
03/05/21 12:0,0.23,0.071
03/07/21 03:0,0.221,0.082
03/08/21 20:0,0.215,0.059
03/10/21 12:0,0.207,0.124
03/12/21 03:0,0.199,0.147
03/13/21 20:0,0.193,0.159
03/15/21 12:0,0.189,0.147
03/17/21 03:0,0.188,0.141
03/18/21 20:0,0.189,0.135
03/20/21 12:0,0.192,0.124
03/22/21 03:0,0.196,0.135
03/23/21 20:0,0.2,0.141
03/25/21 12:0,0.207,0.118
03/27/21 03:0,0.213,0.118
03/28/21 20:0,0.219,0.135
03/30/21 12:0,0.218,0.235
04/01/21 03:0,0.218,0.212
04/02/21 20:0,0.218,0.182
04/04/21 12:0,0.217,0.165
04/06/21 03:0,0.214,0.176
04/07/21 20:0,0.206,0.224
04/09/21 12:0,0.195,0.247
04/11/21 03:0,0.178,0.329
04/12/21 20:0,0.161,0.318
04/14/21 12:0,0.143,0.288
04/16/21 03:0,0.124,0.318
04/17/21 20:0,0.1,0.394
04/19/21 12:0,0.081,0.306
04/21/21 03:0,0.064,0.276
04/22/21 20:0,0.048,0.271
04/24/21 12:0,0.033,0.282
04/26/21 03:0,0.019,0.276
04/27/21 20:0,0.007,0.271
04/29/21 12:0,-0.003,0.276
05/01/21 03:0,-0.013,0.288
05/02/21 20:0,-0.021,0.288
05/04/21 12:0,-0.028,0.288
05/06/21 03:0,-0.034,0.265
05/07/21 20:0,-0.039,0.253
05/09/21 12:0,-0.043,0.229
05/11/21 03:0,-0.048,0.253
05/12/21 20:0,-0.055,0.259
05/14/21 12:0,-0.064,0.247
05/16/21 03:0,-0.073,0.235
05/17/21 20:0,-0.085,0.253
05/19/21 12:0,-0.099,0.247
05/21/21 03:0,-0.117,0.265
05/22/21 20:0,-0.138,0.294
05/24/21 12:0,-0.16,0.288
05/26/21 03:0,-0.185,0.282
05/27/21 20:0,-0.208,0.241
05/29/21 12:0,-0.231,0.224
05/31/21 03:0,-0.254,0.212
06/01/21 20:0,-0.278,0.218
06/03/21 12:0,-0.301,0.212
06/05/21 03:0,-0.324,0.235
06/06/21 20:0,-0.353,0.382
06/08/21 12:0,-0.372,0.218
06/10/21 03:0,-0.387,0.165
06/11/21 20:0,-0.4,0.165
06/13/21 12:0,-0.409,0.141
06/15/21 03:0,-0.416,0.118
06/16/21 20:0,-0.42,0.088
06/18/21 12:0,-0.423,0.106
06/20/21 03:0,-0.424,0.094
06/21/21 20:0,-0.423,0.071
06/23/21 12:0,-0.418,0.012
06/25/21 03:0,-0.414,0.035
06/26/21 20:0,-0.408,-0.024
06/28/21 12:0,-0.399,-0.059
06/30/21 03:0,-0.39,-0.065
07/01/21 20:0,-0.382,-0.065
07/03/21 12:0,-0.374,-0.076
07/05/21 03:0,-0.365,-0.082
07/06/21 20:0,-0.357,-0.082
07/08/21 12:0,-0.349,-0.082
07/10/21 03:0,-0.341,-0.082
07/11/21 20:0,-0.332,-0.094
07/13/21 12:0,-0.323,-0.106
07/15/21 03:0,-0.312,-0.118
07/16/21 20:0,-0.301,-0.124
07/18/21 12:0,-0.289,-0.124
07/20/21 03:0,-0.277,-0.124
07/21/21 20:0,-0.264,-0.129
07/23/21 12:0,-0.25,-0.135
07/25/21 03:0,-0.236,-0.135
07/26/21 20:0,-0.223,-0.141
07/28/21 12:0,-0.21,-0.124
07/30/21 03:0,-0.198,-0.129
07/31/21 20:0,-0.187,-0.129
08/02/21 12:0,-0.178,-0.118
08/04/21 03:0,-0.17,-0.124
08/05/21 20:0,-0.163,-0.129
08/07/21 12:0,-0.158,-0.141
08/09/21 03:0,-0.154,-0.135
08/10/21 20:0,-0.152,-0.141
08/12/21 12:0,-0.151,-0.135
08/14/21 03:0,-0.152,-0.141
08/15/21 20:0,-0.153,-0.147
08/17/21 12:0,-0.155,-0.135
08/19/21 03:0,-0.157,-0.129
08/20/21 20:0,-0.159,-0.124
08/22/21 12:0,-0.161,-0.124
08/24/21 03:0,-0.161,-0.129
08/25/21 20:0,-0.16,-0.124
08/27/21 12:0,-0.158,-0.129
08/29/21 03:0,-0.153,-0.129
08/30/21 20:0,-0.147,-0.129
09/01/21 12:0,-0.139,-0.129
09/03/21 03:0,-0.129,-0.124
09/04/21 20:0,-0.119,-0.124
09/06/21 12:0,-0.108,-0.118
09/08/21 03:0,-0.096,-0.118
09/09/21 20:0,-0.082,-0.147
09/11/21 12:0,-0.069,-0.153
09/13/21 03:0,-0.056,-0.159
09/14/21 20:0,-0.044,-0.165
09/16/21 12:0,-0.033,-0.171
09/18/21 03:0,-0.024,-0.176
09/19/21 20:0,-0.017,-0.176
09/21/21 12:0,-0.012,-0.171
09/23/21 03:0,-0.008,-0.176
09/24/21 20:0,-0.006,-0.176
09/26/21 12:0,-0.006,-0.171
09/28/21 03:0,-0.008,-0.165
09/29/21 20:0,-0.01,-0.159
10/01/21 12:0,-0.013,-0.147
10/03/21 03:0,-0.017,-0.129
10/04/21 20:0,-0.021,-0.124
10/06/21 12:0,-0.023,-0.118
10/08/21 03:0,-0.026,-0.088
10/09/21 20:0,-0.028,-0.041
10/11/21 12:0,-0.029,-0.053
10/13/21 03:0,-0.026,-0.071
10/14/21 20:0,-0.021,-0.082
10/16/21 12:0,-0.006,-0.235
10/18/21 03:0,0.002,-0.076
10/19/21 20:0,0.012,-0.076
10/21/21 12:0,0.023,-0.076
10/23/21 03:0,0.035,-0.088
10/24/21 20:0,0.047,-0.082
10/26/21 12:0,0.068,-0.288
10/28/21 03:0,0.08,-0.106
10/29/21 20:0,0.091,-0.112
10/31/21 12:0,0.101,-0.118
11/02/21 03:0,0.109,-0.118
11/03/21 20:0,0.116,-0.124
11/05/21 12:0,0.13,-0.312
11/07/21 03:0,0.134,-0.124
11/08/21 20:0,0.135,-0.118
11/10/21 12:0,0.136,-0.118
11/12/21 03:0,0.135,-0.106
11/13/21 20:0,0.133,-0.106
11/15/21 12:0,0.14,-0.282
11/17/21 03:0,0.137,-0.082
11/18/21 20:0,0.134,-0.065
11/20/21 12:0,0.128,0.0
11/22/21 03:0,0.119,0.088
11/23/21 20:0,0.112,0.076
11/25/21 12:0,0.134,-0.488
11/27/21 03:0,0.13,0.035
11/28/21 20:0,0.127,0.053
11/30/21 12:0,0.126,0.047
12/02/21 03:0,0.123,0.065
12/03/21 20:0,0.122,0.059
12/05/21 12:0,0.168,-0.876
12/07/21 03:0,0.165,0.094
12/08/21 20:0,0.162,0.088
12/10/21 12:0,0.159,0.076
12/12/21 03:0,0.155,0.076
12/13/21 20:0,0.15,0.082
12/15/21 12:0,0.154,-0.106
12/17/21 03:0,0.147,0.094
12/18/21 20:0,0.138,0.112
12/20/21 12:0,0.129,0.124
12/22/21 03:0,0.119,0.118
12/23/21 20:0,0.109,0.118
12/25/21 12:0,0.099,0.135
12/27/21 03:0,0.088,0.141
12/28/21 20:0,0.077,0.147
12/30/21 12:0,0.067,0.153
01/01/22 03:0,0.058,0.141
01/02/22 20:0,0.05,0.135
01/04/22 12:0,0.041,0.153
01/06/22 03:0,0.028,0.241
01/07/22 20:0,0.018,0.2
01/09/22 12:0,0.009,0.165
01/11/22 03:0,0.0,0.159
01/12/22 20:0,-0.009,0.147
01/14/22 12:0,-0.02,0.182
01/16/22 03:0,-0.033,0.182
01/17/22 20:0,-0.046,0.159
01/19/22 12:0,-0.059,0.141
01/21/22 03:0,-0.075,0.165
01/22/22 20:0,-0.091,0.124
01/24/22 12:0,-0.107,0.112
01/26/22 03:0,-0.126,0.129
01/27/22 20:0,-0.145,0.112
01/29/22 12:0,-0.163,0.1
01/31/22 03:0,-0.181,0.076
02/01/22 20:0,-0.198,0.076
02/03/22 12:0,-0.214,0.076
02/05/22 03:0,-0.231,0.1
02/06/22 20:0,-0.246,0.094
02/08/22 12:0,-0.256,0.041
02/10/22 03:0,-0.262,0.018
02/11/22 20:0,-0.268,0.035
02/13/22 12:0,-0.27,0.029
02/15/22 03:0,-0.272,0.053
02/16/22 20:0,-0.268,-0.018
02/18/22 12:0,-0.26,-0.047
02/20/22 03:0,-0.252,-0.041
02/21/22 20:0,-0.241,-0.065
02/23/22 12:0,-0.23,-0.071
02/25/22 03:0,-0.218,-0.071
02/26/22 20:0,-0.207,-0.076
02/28/22 12:0,-0.196,-0.094
03/02/22 03:0,-0.184,-0.129
03/03/22 20:0,-0.173,-0.153
03/05/22 12:0,-0.164,-0.153
03/07/22 03:0,-0.158,-0.147
03/08/22 20:0,-0.153,-0.159
03/10/22 12:0,-0.149,-0.171
03/12/22 03:0,-0.148,-0.159
03/13/22 20:0,-0.149,-0.141
03/15/22 12:0,-0.152,-0.129
03/17/22 03:0,-0.156,-0.129
03/18/22 20:0,-0.159,-0.147
03/20/22 12:0,-0.162,-0.141
03/22/22 03:0,-0.165,-0.141
03/23/22 20:0,-0.166,-0.147
03/25/22 12:0,-0.166,-0.135
03/27/22 03:0,-0.164,-0.141
03/28/22 20:0,-0.161,-0.147
03/30/22 12:0,-0.155,-0.153
04/01/22 03:0,-0.148,-0.141
04/02/22 20:0,-0.139,-0.147
04/04/22 12:0,-0.13,-0.118
04/06/22 03:0,-0.118,-0.165
04/07/22 20:0,-0.102,-0.229
04/09/22 12:0,-0.085,-0.241
04/11/22 03:0,-0.07,-0.212
04/12/22 20:0,-0.055,-0.2
04/14/22 12:0,-0.041,-0.206
04/16/22 03:0,-0.028,-0.218
04/17/22 20:0,-0.015,-0.224
04/19/22 12:0,-0.005,-0.2
04/21/22 03:0,0.004,-0.194
04/22/22 20:0,0.011,-0.182
04/24/22 12:0,0.018,-0.188
04/26/22 03:0,0.024,-0.194
04/27/22 20:0,0.03,-0.194
04/29/22 12:0,0.035,-0.188
05/01/22 03:0,0.04,-0.182
05/02/22 20:0,0.045,-0.171
05/04/22 12:0,0.049,-0.129
05/06/22 03:0,0.053,-0.106
05/07/22 20:0,0.057,-0.1
05/09/22 12:0,0.062,-0.082
05/11/22 03:0,0.065,-0.035
05/12/22 20:0,0.071,-0.047
05/14/22 12:0,0.076,-0.024
05/16/22 03:0,0.083,-0.035
05/17/22 20:0,0.091,-0.047
05/19/22 12:0,0.099,-0.041
05/21/22 03:0,0.106,-0.024
05/22/22 20:0,0.112,-0.018
05/24/22 12:0,0.118,-0.006
05/26/22 03:0,0.124,-0.012
05/27/22 20:0,0.129,-0.024
05/29/22 12:0,0.134,-0.035
05/31/22 03:0,0.138,-0.018
06/01/22 20:0,0.141,-0.024
06/03/22 12:0,0.143,-0.029
06/05/22 03:0,0.146,-0.041
06/06/22 20:0,0.147,-0.018
06/08/22 12:0,0.147,0.006
06/10/22 03:0,0.147,0.029
06/11/22 20:0,0.146,0.035
06/13/22 12:0,0.144,0.059
06/15/22 03:0,0.143,0.053
06/16/22 20:0,0.143,0.065
06/18/22 12:0,0.142,0.082
06/20/22 03:0,0.141,0.094
06/21/22 20:0,0.14,0.106
06/23/22 12:0,0.139,0.094
06/25/22 03:0,0.139,0.076
06/26/22 20:0,0.138,0.1
06/28/22 12:0,0.136,0.088
06/30/22 03:0,0.132,0.106
07/01/22 20:0,0.128,0.088
07/03/22 12:0,0.123,0.076
07/05/22 03:0,0.116,0.076
07/06/22 20:0,0.107,0.071
07/08/22 12:0,0.103,-0.041
07/10/22 03:0,0.09,0.082
07/11/22 20:0,0.076,0.094
07/13/22 12:0,0.06,0.1
07/15/22 03:0,0.043,0.106
07/16/22 20:0,0.026,0.112
07/18/22 12:0,0.023,-0.171
07/20/22 03:0,0.008,0.1
07/21/22 20:0,-0.006,0.088
07/23/22 12:0,-0.018,0.1
07/25/22 03:0,-0.029,0.112
07/26/22 20:0,-0.037,0.112
07/28/22 12:0,-0.023,-0.288
07/30/22 03:0,-0.026,0.118
07/31/22 20:0,-0.026,0.118
08/02/22 12:0,-0.022,0.1
08/04/22 03:0,-0.017,0.106
08/05/22 20:0,-0.007,0.071
08/07/22 12:0,0.014,-0.124
08/09/22 03:0,0.026,0.065
08/10/22 20:0,0.043,-0.006
08/12/22 12:0,0.061,-0.029
08/14/22 03:0,0.079,-0.035
08/15/22 20:0,0.099,-0.088
08/17/22 12:0,0.127,-0.282
08/19/22 03:0,0.143,-0.088
08/20/22 20:0,0.158,-0.088
08/22/22 12:0,0.17,-0.088
08/24/22 03:0,0.18,-0.082
08/25/22 20:0,0.188,-0.071
08/27/22 12:0,0.203,-0.253
08/29/22 03:0,0.207,-0.059
08/30/22 20:0,0.209,-0.024
09/01/22 12:0,0.206,0.029
09/03/22 03:0,0.203,0.041
09/04/22 20:0,0.198,0.088
09/06/22 12:0,0.201,-0.059
09/08/22 03:0,0.195,0.124
09/09/22 20:0,0.191,0.1
09/11/22 12:0,0.188,0.112
09/13/22 03:0,0.185,0.112
09/14/22 20:0,0.183,0.124
09/16/22 12:0,0.209,-0.412
09/18/22 03:0,0.21,0.106
09/19/22 20:0,0.211,0.1
09/21/22 12:0,0.212,0.112
09/23/22 03:0,0.212,0.112
09/24/22 20:0,0.212,0.112
09/26/22 12:0,0.211,0.118
09/28/22 03:0,0.208,0.135
09/29/22 20:0,0.202,0.159
10/01/22 12:0,0.193,0.2
10/03/22 03:0,0.183,0.188
10/04/22 20:0,0.171,0.182
10/06/22 12:0,0.159,0.182
10/08/22 03:0,0.144,0.212
10/09/22 20:0,0.129,0.188
10/11/22 12:0,0.113,0.2
10/13/22 03:0,0.097,0.2
10/14/22 20:0,0.081,0.2
10/16/22 12:0,0.066,0.2
10/18/22 03:0,0.052,0.182
10/19/22 20:0,0.039,0.182
10/21/22 12:0,0.027,0.176
10/23/22 03:0,0.017,0.176
10/24/22 20:0,0.007,0.176
10/26/22 12:0,-0.002,0.194
10/28/22 03:0,-0.009,0.182
10/29/22 20:0,-0.016,0.188
10/31/22 12:0,-0.022,0.2
11/02/22 03:0,-0.028,0.188
11/03/22 20:0,-0.034,0.2
11/05/22 12:0,-0.039,0.2
11/07/22 03:0,-0.052,0.341
11/08/22 20:0,-0.058,0.194
11/10/22 12:0,-0.063,0.171
11/12/22 03:0,-0.068,0.165
11/13/22 20:0,-0.071,0.124
11/15/22 12:0,-0.075,0.147
11/17/22 03:0,-0.079,0.124
11/18/22 20:0,-0.081,0.112
11/20/22 12:0,-0.083,0.118
11/22/22 03:0,-0.085,0.118
11/23/22 20:0,-0.085,0.112
11/25/22 12:0,-0.084,0.094
11/27/22 03:0,-0.081,0.082
11/28/22 20:0,-0.075,0.065
11/30/22 12:0,-0.068,0.059
12/02/22 03:0,-0.059,0.047
12/03/22 20:0,-0.05,0.065
12/05/22 12:0,-0.04,0.071
12/07/22 03:0,-0.029,0.059
12/08/22 20:0,-0.019,0.065
12/10/22 12:0,-0.006,0.018
