Time,Input,Response
datetime,float,float
T,,
01/03/17 20:0,0.026,-0.194
01/05/17 12:0,0.043,-0.194
01/07/17 03:0,0.061,-0.2
01/08/17 20:0,0.078,-0.2
01/10/17 12:0,0.093,-0.194
01/12/17 03:0,0.108,-0.206
01/13/17 20:0,0.12,-0.212
01/15/17 12:0,0.13,-0.2
01/17/17 03:0,0.138,-0.2
01/18/17 20:0,0.143,-0.2
01/20/17 12:0,0.146,-0.194
01/22/17 03:0,0.146,-0.182
01/23/17 20:0,0.144,-0.171
01/25/17 12:0,0.139,-0.135
01/27/17 03:0,0.13,-0.088
01/28/17 20:0,0.121,-0.076
01/30/17 12:0,0.11,-0.041
02/01/17 03:0,0.097,0.012
02/02/17 20:0,0.085,0.018
02/04/17 12:0,0.076,-0.018
02/06/17 03:0,0.068,-0.018
02/07/17 20:0,0.062,0.0
02/09/17 12:0,0.063,-0.1
02/11/17 03:0,0.06,0.006
02/12/17 20:0,0.059,0.012
02/14/17 12:0,0.06,0.012
02/16/17 03:0,0.061,0.024
02/17/17 20:0,0.064,0.018
02/19/17 12:0,0.078,-0.182
02/21/17 03:0,0.084,-0.012
02/22/17 20:0,0.089,0.0
02/24/17 12:0,0.095,-0.006
02/26/17 03:0,0.1,-0.006
02/27/17 20:0,0.105,-0.006
03/01/17 12:0,0.117,-0.171
03/03/17 03:0,0.118,0.035
03/04/17 20:0,0.118,0.041
03/06/17 12:0,0.118,0.024
03/08/17 03:0,0.118,0.018
03/09/17 20:0,0.117,0.018
03/11/17 12:0,0.141,-0.471
03/13/17 03:0,0.139,0.041
03/14/17 20:0,0.137,0.035
03/16/17 12:0,0.136,0.035
03/18/17 03:0,0.134,0.041
03/19/17 20:0,0.131,0.088
03/21/17 12:0,0.154,-0.429
03/23/17 03:0,0.15,0.124
03/24/17 20:0,0.148,0.076
03/26/17 12:0,0.146,0.076
03/28/17 03:0,0.144,0.088
03/29/17 20:0,0.14,0.106
03/31/17 12:0,0.145,-0.088
04/02/17 03:0,0.141,0.076
04/03/17 20:0,0.135,0.088
04/05/17 12:0,0.127,0.106
04/07/17 03:0,0.117,0.118
04/08/17 20:0,0.104,0.153
04/10/17 12:0,0.098,-0.018
04/12/17 03:0,0.081,0.188
04/13/17 20:0,0.059,0.265
04/15/17 12:0,0.039,0.218
04/17/17 03:0,0.02,0.188
04/18/17 20:0,0.001,0.188
04/20/17 12:0,-0.008,-0.006
04/22/17 03:0,-0.027,0.188
04/23/17 20:0,-0.044,0.194
04/25/17 12:0,-0.06,0.188
04/27/17 03:0,-0.074,0.176
04/28/17 20:0,-0.086,0.171
04/30/17 12:0,-0.096,0.165
05/02/17 03:0,-0.105,0.171
05/03/17 20:0,-0.113,0.188
05/05/17 12:0,-0.123,0.229
05/07/17 03:0,-0.131,0.212
05/08/17 20:0,-0.136,0.159
05/10/17 12:0,-0.14,0.135
05/12/17 03:0,-0.144,0.106
05/13/17 20:0,-0.147,0.1
05/15/17 12:0,-0.155,0.141
05/17/17 03:0,-0.163,0.135
05/18/17 20:0,-0.172,0.106
05/20/17 12:0,-0.181,0.071
05/22/17 03:0,-0.19,0.041
05/23/17 20:0,-0.201,0.041
05/25/17 12:0,-0.212,0.012
05/27/17 03:0,-0.224,0.012
05/28/17 20:0,-0.238,0.035
05/30/17 12:0,-0.252,0.012
06/01/17 03:0,-0.264,-0.012
06/02/17 20:0,-0.275,-0.018
06/04/17 12:0,-0.286,-0.012
06/06/17 03:0,-0.295,-0.012
06/07/17 20:0,-0.301,-0.035
06/09/17 12:0,-0.305,-0.053
06/11/17 03:0,-0.305,-0.053
06/12/17 20:0,-0.303,-0.082
06/14/17 12:0,-0.297,-0.106
06/16/17 03:0,-0.288,-0.106
06/17/17 20:0,-0.278,-0.112
06/19/17 12:0,-0.267,-0.106
06/21/17 03:0,-0.254,-0.106
06/22/17 20:0,-0.242,-0.106
06/24/17 12:0,-0.228,-0.129
06/26/17 03:0,-0.213,-0.153
06/27/17 20:0,-0.198,-0.176
06/29/17 12:0,-0.184,-0.165
07/01/17 03:0,-0.173,-0.159
07/02/17 20:0,-0.164,-0.147
07/04/17 12:0,-0.156,-0.141
07/06/17 03:0,-0.151,-0.135
07/07/17 20:0,-0.148,-0.135
07/09/17 12:0,-0.146,-0.129
07/11/17 03:0,-0.146,-0.118
07/12/17 20:0,-0.146,-0.112
07/14/17 12:0,-0.148,-0.112
